formulation,alpha,eta_max
unscaled,1.0,1.0587934284374356
unscaled,0.01,0.040816883676788304
unscaled,0.0001,0.0018538150612669585
unscaled,1e-06,0.0013380268971484616
unscaled,1e-08,0.001330526220333744
scaled_raw,1.0,1.0587934284374356
scaled_raw,0.01,0.17903159774927396
scaled_raw,0.0001,0.027849937106895734
scaled_raw,1e-06,0.009679208469818621
scaled_raw,1e-08,0.004072520520062239
