snapshot,formulation,alpha,sigma_max_mean,sigma_max_std,sigma_min_mean,sigma_min_std,kappa_J_mean,kappa_J_std,kappa_JTJ_mean,kappa_JTJ_std
0,unscaled,1.0,90.08318576791694,2.5314537883232484,1e-150,0.0,9.008318576791692e+151,2.5314537883232496e+150,8.121388616379449e+303,inf
0,unscaled,0.01,424.4787918250996,17.271311494007364,1e-150,0.0,4.244787918250996e+152,1.727131149400738e+151,1.8048054291001922e+305,inf
0,unscaled,0.0001,40834.89955656347,1774.520832342439,1e-150,0.0,4.0834899556563464e+154,1.7745208323424394e+153,inf,inf
0,unscaled,1e-06,4083473.081836191,177452.665611408,1e-150,0.0,4.083473081836191e+156,inf,inf,inf
0,scaled_raw,1.0,90.08318576791694,2.5314537883232484,1e-150,0.0,9.008318576791692e+151,2.5314537883232496e+150,8.121388616379449e+303,inf
0,scaled_raw,0.01,9.919236626826258,0.2778583199609123,1e-150,0.0,9.919236626826258e+150,2.778583199609124e+149,9.846846050494307e+301,inf
0,scaled_raw,0.0001,4.281447810367172,0.11905007194932815,1e-150,0.0,4.281447810367171e+150,1.1905007194932818e+149,1.8344968272528982e+301,inf
0,scaled_raw,1e-06,4.187427253437736,0.11641981703660642,1e-150,0.0,4.187427253437735e+150,1.1641981703660635e+149,1.7548100576631935e+301,inf
1000,unscaled,1.0,621.1429412085117,12.945605932595607,1e-150,0.0,6.2114294120851185e+152,1.2945605932595599e+151,3.859861421261228e+305,inf
1000,unscaled,0.01,681.8679298938929,36.180057182884944,1e-150,0.0,6.818679298938929e+152,3.6180057182884925e+151,4.662528703555397e+305,inf
1000,unscaled,0.0001,34416.03375580513,2076.0339416319066,1e-150,0.0,3.441603375580513e+154,2.076033941631908e+153,inf,inf
1000,unscaled,1e-06,3391930.552758085,224247.39992501863,1e-150,0.0,3.3919305527580853e+156,inf,inf,inf
1000,scaled_raw,1.0,621.1429341350954,12.945604998348308,1e-150,0.0,6.211429341350954e+152,1.2945604998348313e+151,3.859861333147287e+305,inf
1000,scaled_raw,0.01,27.475686919218578,1.4985497082094625,1e-150,0.0,2.7475686919218577e+151,1.4985497082094617e+150,7.571590229108933e+302,inf
1000,scaled_raw,0.0001,5.690775901065907,0.3094021253142565,1e-150,0.0,5.690775901065907e+150,3.0940212531425645e+149,3.248066003130146e+301,inf
1000,scaled_raw,1e-06,3.8710030011383894,0.22856589868728555,1e-150,0.0,3.871003001138389e+150,2.2856589868728543e+149,1.5036906604865142e+301,inf
